vendor_name,field,label,status,confidence,extraction_quality,confidence_reason,value,source_type,source_url,matched_terms,vendor_evidence_score,vendor_confidence,vendor_coverage,review_flags_for_this_field,vendor_missing_or_unclear,disclaimer
GitHub,security_trust,Security and trust information,FOUND,High,High,"stated directly on the vendor's own security page, quoted in full, with no collection limitation","GitHub’s API stays secure with ISO, SOC 2, and GDPR.",security,https://github.com/security,soc 2,10/10 High,Medium (2 of 5 core fields High),5/5 verified,,Encryption practices: not found on the vendor's public sources,"FIRST-PASS INTERNAL RESEARCH AID. Generated from public web pages only. This is not a vendor risk score, a security approval, or a procurement decision. Every field must be confirmed by a human reviewer before use."
GitHub,privacy_data_handling,Privacy and data-handling references,FOUND,Medium,High,the top card cites terms its quoted text does not show,"The Personal Data we process depends on your interaction and access methods with our Services, including the interfaces (web, desktop, mobile apps), features used (pull requests, Codespaces, GitHub Copilot), and your preferred access tools (like your IDE).",privacy,https://docs.github.com/en/site-policy/privacy-policies/github-general-privacy-statement,"personal data, personal information, data subject",10/10 High,Medium (2 of 5 core fields High),5/5 verified,,Encryption practices: not found on the vendor's public sources,"FIRST-PASS INTERNAL RESEARCH AID. Generated from public web pages only. This is not a vendor risk score, a security approval, or a procurement decision. Every field must be confirmed by a human reviewer before use."
GitHub,support_documentation,Support and documentation availability,FOUND,Medium,High,"evidence came from pricing, never from docs/product","With Premium, get a 30-minute SLA on Urgent tickets and 24/7 web and phone support via callback request.",pricing,https://github.com/pricing,"24/7, premium support",10/10 High,Medium (2 of 5 core fields High),5/5 verified,"Support and documentation availability: evidence came only from pricing, never from docs/product. The match is real; the finding is weak.",Encryption practices: not found on the vendor's public sources,"FIRST-PASS INTERNAL RESEARCH AID. Generated from public web pages only. This is not a vendor risk score, a security approval, or a procurement decision. Every field must be confirmed by a human reviewer before use."
GitHub,integrations_api,Integration or API availability,FOUND,Medium,High,"evidence came from pricing, privacy, never from docs/integrations/product",Install apps that integrate directly with GitHub's API to improve development workflows – or build your own for private use or publication in the GitHub Marketplace.,pricing,https://github.com/pricing,"integrations, marketplace",10/10 High,Medium (2 of 5 core fields High),5/5 verified,"Integration or API availability: evidence came only from pricing, privacy, never from docs/integrations/product. The match is real; the finding is weak.",Encryption practices: not found on the vendor's public sources,"FIRST-PASS INTERNAL RESEARCH AID. Generated from public web pages only. This is not a vendor risk score, a security approval, or a procurement decision. Every field must be confirmed by a human reviewer before use."
GitHub,pricing_availability,Pricing or plan availability,FOUND,High,High,"stated directly on the vendor's own pricing page, quoted in full, with no collection limitation",Pay only for what you use with compute fees starting at $0.18/hr and storage fees at $0.07/GB per month.,pricing,https://github.com/pricing,"per user, per month",10/10 High,Medium (2 of 5 core fields High),5/5 verified,Pricing or plan availability: the confidence label was earned by a sentence that does not contain the matched term (longest term-carrying sentence is 25 characters). Read the quote before relying on the label.,Encryption practices: not found on the vendor's public sources,"FIRST-PASS INTERNAL RESEARCH AID. Generated from public web pages only. This is not a vendor risk score, a security approval, or a procurement decision. Every field must be confirmed by a human reviewer before use."
GitHub,data_residency,Data residency / storage location,FOUND,Medium,High,"evidence came from pricing, never from security/privacy","Multi-tenant enterprise SaaS solution on Microsoft Azure, allowing you to choose a regional cloud deployment for data residency, so your in-scope data is stored at rest in a designated location.",pricing,https://github.com/pricing,data residency,10/10 High,Medium (2 of 5 core fields High),5/5 verified,"Data residency / storage location: evidence came only from pricing, never from security/privacy. The match is real; the finding is weak.",Encryption practices: not found on the vendor's public sources,"FIRST-PASS INTERNAL RESEARCH AID. Generated from public web pages only. This is not a vendor risk score, a security approval, or a procurement decision. Every field must be confirmed by a human reviewer before use."
GitHub,encryption,Encryption practices,NOT_FOUND,NOT_FOUND,NOT_FOUND,nothing matched on any page we could read,,,,,10/10 High,Medium (2 of 5 core fields High),5/5 verified,,Encryption practices: not found on the vendor's public sources,"FIRST-PASS INTERNAL RESEARCH AID. Generated from public web pages only. This is not a vendor risk score, a security approval, or a procurement decision. Every field must be confirmed by a human reviewer before use."
GitHub,uptime_reliability,"Uptime, SLA and reliability",FOUND,Medium,High,"the quote shown came from pricing, not from status/security — on-home evidence exists but it is not what the reviewer reads","With Premium, get a 30-minute SLA on Urgent tickets and 24/7 web and phone support via callback request.",pricing,https://github.com/pricing,sla,10/10 High,Medium (2 of 5 core fields High),5/5 verified,,Encryption practices: not found on the vendor's public sources,"FIRST-PASS INTERNAL RESEARCH AID. Generated from public web pages only. This is not a vendor risk score, a security approval, or a procurement decision. Every field must be confirmed by a human reviewer before use."
