vendor_name,field,label,status,confidence,extraction_quality,confidence_reason,value,source_type,source_url,matched_terms,vendor_evidence_score,vendor_confidence,vendor_coverage,review_flags_for_this_field,vendor_missing_or_unclear,disclaimer
JetBrains,security_trust,Security and trust information,FOUND,High,High,"stated directly on the vendor's own security page, quoted in full, with no collection limitation","You can also find details on our SOC 2 Type II and GDPR compliance, access security resources, and view our controls across various security domains.",security,https://www.jetbrains.com/legal/docs/privacy/trust-center/,"soc 2, soc 2 type ii, trust center",5/10 Medium,Low (1 of 5 core fields High),2/5 verified,,"Support and documentation availability: could not be evaluated — its docs page was collected but could not be reliably extracted | Integration or API availability: could not be evaluated — its docs page was collected but could not be reliably extracted | Data residency / storage location: not found on the vendor's public sources (its own pages read cleanly; 3 other page(s) did not, so this is a finding about the vendor) | Uptime, SLA and reliability: could not be evaluated — its status page was collected but could not be reliably extracted","FIRST-PASS INTERNAL RESEARCH AID. Generated from public web pages only. This is not a vendor risk score, a security approval, or a procurement decision. Every field must be confirmed by a human reviewer before use."
JetBrains,privacy_data_handling,Privacy and data-handling references,FOUND,Medium,High,the top card cites terms its quoted text does not show,Your Privacy Choices: The privacy choices you have regarding your personal information are determined by the specific laws applicable to you and your data.,privacy,https://www.jetbrains.com/legal/docs/privacy/privacy/,"data retention, personal data, personal information, right to erasure",5/10 Medium,Low (1 of 5 core fields High),2/5 verified,Privacy and data-handling references: the confidence label was earned by a sentence that does not contain the matched term (longest term-carrying sentence is 5 characters). Read the quote before relying on the label.,"Support and documentation availability: could not be evaluated — its docs page was collected but could not be reliably extracted | Integration or API availability: could not be evaluated — its docs page was collected but could not be reliably extracted | Data residency / storage location: not found on the vendor's public sources (its own pages read cleanly; 3 other page(s) did not, so this is a finding about the vendor) | Uptime, SLA and reliability: could not be evaluated — its status page was collected but could not be reliably extracted","FIRST-PASS INTERNAL RESEARCH AID. Generated from public web pages only. This is not a vendor risk score, a security approval, or a procurement decision. Every field must be confirmed by a human reviewer before use."
JetBrains,support_documentation,Support and documentation availability,NOT_FOUND,NOT_FOUND,NOT_FOUND,could not be evaluated — NOT_FOUND may be our limit — the docs page could not be read,,,,,5/10 Medium,Low (1 of 5 core fields High),2/5 verified,,"Support and documentation availability: could not be evaluated — its docs page was collected but could not be reliably extracted | Integration or API availability: could not be evaluated — its docs page was collected but could not be reliably extracted | Data residency / storage location: not found on the vendor's public sources (its own pages read cleanly; 3 other page(s) did not, so this is a finding about the vendor) | Uptime, SLA and reliability: could not be evaluated — its status page was collected but could not be reliably extracted","FIRST-PASS INTERNAL RESEARCH AID. Generated from public web pages only. This is not a vendor risk score, a security approval, or a procurement decision. Every field must be confirmed by a human reviewer before use."
JetBrains,integrations_api,Integration or API availability,NOT_FOUND,NOT_FOUND,NOT_FOUND,could not be evaluated — NOT_FOUND may be our limit — the docs page could not be read,,,,,5/10 Medium,Low (1 of 5 core fields High),2/5 verified,,"Support and documentation availability: could not be evaluated — its docs page was collected but could not be reliably extracted | Integration or API availability: could not be evaluated — its docs page was collected but could not be reliably extracted | Data residency / storage location: not found on the vendor's public sources (its own pages read cleanly; 3 other page(s) did not, so this is a finding about the vendor) | Uptime, SLA and reliability: could not be evaluated — its status page was collected but could not be reliably extracted","FIRST-PASS INTERNAL RESEARCH AID. Generated from public web pages only. This is not a vendor risk score, a security approval, or a procurement decision. Every field must be confirmed by a human reviewer before use."
JetBrains,pricing_availability,Pricing or plan availability,FOUND,Medium,Medium,"the pricing page could not be read; evidence came from security, never from pricing",Licensing FAQs Purchase Terms Contact Sales,security,https://www.jetbrains.com/legal/docs/privacy/trust-center/,contact sales,5/10 Medium,Low (1 of 5 core fields High),2/5 verified,"Pricing or plan availability: evidence came only from security, never from pricing. The match is real; the finding is weak.","Support and documentation availability: could not be evaluated — its docs page was collected but could not be reliably extracted | Integration or API availability: could not be evaluated — its docs page was collected but could not be reliably extracted | Data residency / storage location: not found on the vendor's public sources (its own pages read cleanly; 3 other page(s) did not, so this is a finding about the vendor) | Uptime, SLA and reliability: could not be evaluated — its status page was collected but could not be reliably extracted","FIRST-PASS INTERNAL RESEARCH AID. Generated from public web pages only. This is not a vendor risk score, a security approval, or a procurement decision. Every field must be confirmed by a human reviewer before use."
JetBrains,data_residency,Data residency / storage location,NOT_FOUND,NOT_FOUND,NOT_FOUND,nothing matched on any page we could read,,,,,5/10 Medium,Low (1 of 5 core fields High),2/5 verified,,"Support and documentation availability: could not be evaluated — its docs page was collected but could not be reliably extracted | Integration or API availability: could not be evaluated — its docs page was collected but could not be reliably extracted | Data residency / storage location: not found on the vendor's public sources (its own pages read cleanly; 3 other page(s) did not, so this is a finding about the vendor) | Uptime, SLA and reliability: could not be evaluated — its status page was collected but could not be reliably extracted","FIRST-PASS INTERNAL RESEARCH AID. Generated from public web pages only. This is not a vendor risk score, a security approval, or a procurement decision. Every field must be confirmed by a human reviewer before use."
JetBrains,encryption,Encryption practices,FOUND,Medium,High,"evidence came from privacy, never from security","To encrypt data at rest, we use strong, up-to-date encryption algorithms, such as AES-256.",privacy,https://www.jetbrains.com/legal/docs/privacy/privacy/,aes-256,5/10 Medium,Low (1 of 5 core fields High),2/5 verified,"Encryption practices: evidence came only from privacy, never from security. The match is real; the finding is weak.","Support and documentation availability: could not be evaluated — its docs page was collected but could not be reliably extracted | Integration or API availability: could not be evaluated — its docs page was collected but could not be reliably extracted | Data residency / storage location: not found on the vendor's public sources (its own pages read cleanly; 3 other page(s) did not, so this is a finding about the vendor) | Uptime, SLA and reliability: could not be evaluated — its status page was collected but could not be reliably extracted","FIRST-PASS INTERNAL RESEARCH AID. Generated from public web pages only. This is not a vendor risk score, a security approval, or a procurement decision. Every field must be confirmed by a human reviewer before use."
JetBrains,uptime_reliability,"Uptime, SLA and reliability",NOT_FOUND,NOT_FOUND,NOT_FOUND,could not be evaluated — NOT_FOUND may be our limit — the status page could not be read,,,,,5/10 Medium,Low (1 of 5 core fields High),2/5 verified,,"Support and documentation availability: could not be evaluated — its docs page was collected but could not be reliably extracted | Integration or API availability: could not be evaluated — its docs page was collected but could not be reliably extracted | Data residency / storage location: not found on the vendor's public sources (its own pages read cleanly; 3 other page(s) did not, so this is a finding about the vendor) | Uptime, SLA and reliability: could not be evaluated — its status page was collected but could not be reliably extracted","FIRST-PASS INTERNAL RESEARCH AID. Generated from public web pages only. This is not a vendor risk score, a security approval, or a procurement decision. Every field must be confirmed by a human reviewer before use."
