vendor_name,field,label,status,confidence,extraction_quality,confidence_reason,value,source_type,source_url,matched_terms,vendor_evidence_score,vendor_confidence,vendor_coverage,review_flags_for_this_field,vendor_missing_or_unclear,disclaimer
Sentry,security_trust,Security and trust information,FOUND,High,High,"stated directly on the vendor's own security page, quoted in full, with no collection limitation","Sentry has obtained the following compliance certifications: SOC2 Type I SOC2 Type II HIPAA Attestation ISO 27001 If you already use Sentry, you can access the report and certificate via your Sentry account.",security,https://sentry.io/security/,"soc2, iso 27001, hipaa",10/10 High,Medium (2 of 5 core fields High),5/5 verified,"Security and trust information: the vendor says the proof exists but does not publish it (""available to customers""). It cannot be closed from public sources alone.",Data residency / storage location: a heading or label only — the vendor named it but published no statement. Open the page.,"FIRST-PASS INTERNAL RESEARCH AID. Generated from public web pages only. This is not a vendor risk score, a security approval, or a procurement decision. Every field must be confirmed by a human reviewer before use."
Sentry,privacy_data_handling,Privacy and data-handling references,FOUND,Medium,High,the top card cites terms its quoted text does not show,"Customer controls what Service Data (including what, if any, personal information) are sent to and processed by the Service by configuring SDKs and the Service.",terms,https://sentry.io/terms,"privacy policy, gdpr, ccpa, personal data, personal information, data subject",10/10 High,Medium (2 of 5 core fields High),5/5 verified,,Data residency / storage location: a heading or label only — the vendor named it but published no statement. Open the page.,"FIRST-PASS INTERNAL RESEARCH AID. Generated from public web pages only. This is not a vendor risk score, a security approval, or a procurement decision. Every field must be confirmed by a human reviewer before use."
Sentry,support_documentation,Support and documentation availability,FOUND,Medium,High,"evidence came from security, never from docs/product",Sentry retains event data in production for the period set forth in our documentation based on data and plan type by default.,security,https://sentry.io/security/,documentation,10/10 High,Medium (2 of 5 core fields High),5/5 verified,"Support and documentation availability: evidence came only from security, never from docs/product. The match is real; the finding is weak.",Data residency / storage location: a heading or label only — the vendor named it but published no statement. Open the page.,"FIRST-PASS INTERNAL RESEARCH AID. Generated from public web pages only. This is not a vendor risk score, a security approval, or a procurement decision. Every field must be confirmed by a human reviewer before use."
Sentry,integrations_api,Integration or API availability,FOUND,Medium,High,"evidence came from pricing, security, terms, never from docs/integrations/product; the top card cites terms its quoted text does not show","…Third-Party Platforms (e.g., messaging services, code repositories and project management solutions) through supported integrations.",terms,https://sentry.io/terms,"integrations, sdk",10/10 High,Medium (2 of 5 core fields High),5/5 verified,"Integration or API availability: evidence came only from pricing, security, terms, never from docs/integrations/product. The match is real; the finding is weak.",Data residency / storage location: a heading or label only — the vendor named it but published no statement. Open the page.,"FIRST-PASS INTERNAL RESEARCH AID. Generated from public web pages only. This is not a vendor risk score, a security approval, or a procurement decision. Every field must be confirmed by a human reviewer before use."
Sentry,pricing_availability,Pricing or plan availability,FOUND,High,High,"stated directly on the vendor's own pricing page, quoted in full, with no collection limitation","New users only: Get 5,000 free replays per month for your first 3 months.",pricing,https://sentry.io/pricing/,per month,10/10 High,Medium (2 of 5 core fields High),5/5 verified,,Data residency / storage location: a heading or label only — the vendor named it but published no statement. Open the page.,"FIRST-PASS INTERNAL RESEARCH AID. Generated from public web pages only. This is not a vendor risk score, a security approval, or a procurement decision. Every field must be confirmed by a human reviewer before use."
Sentry,data_residency,Data residency / storage location,PARTIAL,Low,Low,"only a label, a fragment or an image — nothing quotable was written",Data Residency,pricing,https://sentry.io/pricing/,data residency,10/10 High,Medium (2 of 5 core fields High),5/5 verified,"Data residency / storage location: evidence came only from pricing, never from security/privacy. The match is real; the finding is weak.",Data residency / storage location: a heading or label only — the vendor named it but published no statement. Open the page.,"FIRST-PASS INTERNAL RESEARCH AID. Generated from public web pages only. This is not a vendor risk score, a security approval, or a procurement decision. Every field must be confirmed by a human reviewer before use."
Sentry,encryption,Encryption practices,FOUND,High,High,"stated directly on the vendor's own security page, quoted in full, with no collection limitation","All data is AES-256bit encrypted, both in transit and at rest.",security,https://sentry.io/security/,aes-256bit,10/10 High,Medium (2 of 5 core fields High),5/5 verified,,Data residency / storage location: a heading or label only — the vendor named it but published no statement. Open the page.,"FIRST-PASS INTERNAL RESEARCH AID. Generated from public web pages only. This is not a vendor risk score, a security approval, or a procurement decision. Every field must be confirmed by a human reviewer before use."
Sentry,uptime_reliability,"Uptime, SLA and reliability",FOUND,High,High,"stated directly on the vendor's own security page, quoted in full, with no collection limitation","In the event of a region-wide outage, Sentry will bring up a duplicate environment in a different Google Cloud Platform region. The Sentry operations team has extensive experience performing full region migrations.",security,https://sentry.io/security/,disaster recovery,10/10 High,Medium (2 of 5 core fields High),5/5 verified,"Uptime, SLA and reliability: the confidence label was earned by a sentence that does not contain the matched term (longest term-carrying sentence is 17 characters). Read the quote before relying on the label.",Data residency / storage location: a heading or label only — the vendor named it but published no statement. Open the page.,"FIRST-PASS INTERNAL RESEARCH AID. Generated from public web pages only. This is not a vendor risk score, a security approval, or a procurement decision. Every field must be confirmed by a human reviewer before use."
