vendor_name,field,label,status,confidence,extraction_quality,confidence_reason,value,source_type,source_url,matched_terms,vendor_evidence_score,vendor_confidence,vendor_coverage,review_flags_for_this_field,vendor_missing_or_unclear,disclaimer
GitLab,security_trust,Security and trust information,FOUND,High,High,"stated directly on the vendor's own security page, quoted in full, with no collection limitation","GitLab maintains a SOC 2 Type 2 report for the Security, Confidentiality and Availability Trust Services Criteria for GitLab.com.",security,https://about.gitlab.com/security/,"soc 2, soc 2 type 2",10/10 High,Medium (2 of 5 core fields High),5/5 verified,Security and trust information: the confidence label was earned by a sentence that does not contain the matched term (longest term-carrying sentence is 22 characters). Read the quote before relying on the label.,Encryption practices: not found on the vendor's public sources,"FIRST-PASS INTERNAL RESEARCH AID. Generated from public web pages only. This is not a vendor risk score, a security approval, or a procurement decision. Every field must be confirmed by a human reviewer before use."
GitLab,privacy_data_handling,Privacy and data-handling references,FOUND,Medium,High,the top card cites terms its quoted text does not show,"Our employees, contractors, affiliated organizations, service providers, and sub-processors that process Personal Data may be located in the United States or other countries outside of your home country.",privacy,https://about.gitlab.com/privacy/,"personal data, personal information, standard contractual clauses",10/10 High,Medium (2 of 5 core fields High),5/5 verified,,Encryption practices: not found on the vendor's public sources,"FIRST-PASS INTERNAL RESEARCH AID. Generated from public web pages only. This is not a vendor risk score, a security approval, or a procurement decision. Every field must be confirmed by a human reviewer before use."
GitLab,support_documentation,Support and documentation availability,FOUND,Medium,High,"evidence came from pricing, privacy, security, never from docs/product","Customer Support information is collected through the Websites, such as the GitLab Community Forum and the GitLab Support Portal.",privacy,https://about.gitlab.com/privacy/,"support portal, community forum",10/10 High,Medium (2 of 5 core fields High),5/5 verified,"Support and documentation availability: evidence came only from pricing, privacy, security, never from docs/product. The match is real; the finding is weak.",Encryption practices: not found on the vendor's public sources,"FIRST-PASS INTERNAL RESEARCH AID. Generated from public web pages only. This is not a vendor risk score, a security approval, or a procurement decision. Every field must be confirmed by a human reviewer before use."
GitLab,integrations_api,Integration or API availability,FOUND,Medium,High,"evidence came from privacy, status, never from docs/integrations/product","Third-Party Integrations: The Services allow for integrations with third-party git applications, such as GitPod, or third-party extensions, such as those in the Visual Studio code marketplace.",privacy,https://about.gitlab.com/privacy/,"integrations, marketplace",10/10 High,Medium (2 of 5 core fields High),5/5 verified,"Integration or API availability: evidence came only from privacy, status, never from docs/integrations/product. The match is real; the finding is weak. | Integration or API availability: the confidence label was earned by a sentence that does not contain the matched term (longest term-carrying sentence is 35 characters). Read the quote before relying on the label.",Encryption practices: not found on the vendor's public sources,"FIRST-PASS INTERNAL RESEARCH AID. Generated from public web pages only. This is not a vendor risk score, a security approval, or a procurement decision. Every field must be confirmed by a human reviewer before use."
GitLab,pricing_availability,Pricing or plan availability,FOUND,High,High,"stated directly on the vendor's own pricing page, quoted in full, with no collection limitation",Each project in a Free tier namespace on GitLab.com has 10 GiB of free storage for its Git repository and Large File Storage (LFS).,pricing,https://about.gitlab.com/pricing/,free tier,10/10 High,Medium (2 of 5 core fields High),5/5 verified,,Encryption practices: not found on the vendor's public sources,"FIRST-PASS INTERNAL RESEARCH AID. Generated from public web pages only. This is not a vendor risk score, a security approval, or a procurement decision. Every field must be confirmed by a human reviewer before use."
GitLab,data_residency,Data residency / storage location,FOUND,Medium,Medium,"evidence came from pricing, never from security/privacy",Fully managed by GitLab Data residency in region of your choice Full data and source code isolation Bring your own key encryption Enterprise grade security Regular upgrade cadence,pricing,https://about.gitlab.com/pricing/,data residency,10/10 High,Medium (2 of 5 core fields High),5/5 verified,"Data residency / storage location: evidence came only from pricing, never from security/privacy. The match is real; the finding is weak.",Encryption practices: not found on the vendor's public sources,"FIRST-PASS INTERNAL RESEARCH AID. Generated from public web pages only. This is not a vendor risk score, a security approval, or a procurement decision. Every field must be confirmed by a human reviewer before use."
GitLab,encryption,Encryption practices,NOT_FOUND,NOT_FOUND,NOT_FOUND,nothing matched on any page we could read,,,,,10/10 High,Medium (2 of 5 core fields High),5/5 verified,,Encryption practices: not found on the vendor's public sources,"FIRST-PASS INTERNAL RESEARCH AID. Generated from public web pages only. This is not a vendor risk score, a security approval, or a procurement decision. Every field must be confirmed by a human reviewer before use."
GitLab,uptime_reliability,"Uptime, SLA and reliability",FOUND,Medium,High,"evidence came from pricing, never from status/security","For paid plans, the hours in which your support request has SLA is dependent upon the Support Impact of the request itself.",pricing,https://about.gitlab.com/pricing/,sla,10/10 High,Medium (2 of 5 core fields High),5/5 verified,"Uptime, SLA and reliability: evidence came only from pricing, never from status/security. The match is real; the finding is weak.",Encryption practices: not found on the vendor's public sources,"FIRST-PASS INTERNAL RESEARCH AID. Generated from public web pages only. This is not a vendor risk score, a security approval, or a procurement decision. Every field must be confirmed by a human reviewer before use."
