vendor_name,field,label,status,confidence,extraction_quality,confidence_reason,value,source_type,source_url,matched_terms,vendor_evidence_score,vendor_confidence,vendor_coverage,review_flags_for_this_field,vendor_missing_or_unclear,disclaimer
Atlassian,security_trust,Security and trust information,FOUND,Medium,High,"evidence came from privacy, terms, never from security/trust",Sensitive Health Information and HIPAA.,terms,https://www.atlassian.com/legal/cloud-terms-of-service,hipaa,10/10 High,Medium (0 of 5 core fields High),2/5 verified,"Security and trust information: evidence came only from privacy, terms, never from security/trust. The match is real; the finding is weak. | Security and trust information: the confidence label was earned by a sentence that does not contain the matched term (longest term-carrying sentence is 39 characters). Read the quote before relying on the label.","Data residency / storage location: not found on the vendor's public sources (its own pages read cleanly; 2 other page(s) did not, so this is a finding about the vendor) | Encryption practices: not found on the vendor's public sources (its own pages read cleanly; 2 other page(s) did not, so this is a finding about the vendor)","FIRST-PASS INTERNAL RESEARCH AID. Generated from public web pages only. This is not a vendor risk score, a security approval, or a procurement decision. Every field must be confirmed by a human reviewer before use."
Atlassian,privacy_data_handling,Privacy and data-handling references,FOUND,Medium,High,the top card cites terms its quoted text does not show,"…safety, or property, and/or that of our affiliated companies, you, or other parties, including to enforce this privacy policy and any other agreements or policies; Detect and prevent fraud, illegal activity, or violations of the terms of our agreements and our Service policies, and to maintain the security of our IT systems, architecture, assets, customers, and networks; and Aggregate or de-identify data.",privacy,https://www.atlassian.com/legal/privacy-policy,"privacy policy, gdpr, personal data, personal information",10/10 High,Medium (0 of 5 core fields High),2/5 verified,,"Data residency / storage location: not found on the vendor's public sources (its own pages read cleanly; 2 other page(s) did not, so this is a finding about the vendor) | Encryption practices: not found on the vendor's public sources (its own pages read cleanly; 2 other page(s) did not, so this is a finding about the vendor)","FIRST-PASS INTERNAL RESEARCH AID. Generated from public web pages only. This is not a vendor risk score, a security approval, or a procurement decision. Every field must be confirmed by a human reviewer before use."
Atlassian,support_documentation,Support and documentation availability,FOUND,Medium,High,"the product page could not be read; evidence came from privacy, terms, never from docs/product","…expiration or termination, unless prohibited by Law, Atlassian will delete Customer Data in accordance with the Documentation.",terms,https://www.atlassian.com/legal/cloud-terms-of-service,documentation,10/10 High,Medium (0 of 5 core fields High),2/5 verified,"Support and documentation availability: evidence came only from privacy, terms, never from docs/product. The match is real; the finding is weak.","Data residency / storage location: not found on the vendor's public sources (its own pages read cleanly; 2 other page(s) did not, so this is a finding about the vendor) | Encryption practices: not found on the vendor's public sources (its own pages read cleanly; 2 other page(s) did not, so this is a finding about the vendor)","FIRST-PASS INTERNAL RESEARCH AID. Generated from public web pages only. This is not a vendor risk score, a security approval, or a procurement decision. Every field must be confirmed by a human reviewer before use."
Atlassian,integrations_api,Integration or API availability,FOUND,Medium,High,"the product page could not be read; evidence came from privacy, never from docs/integrations/product","…or social networking websites operated by us, our support and documentation websites, our Community Forums, and our Marketplace.",privacy,https://www.atlassian.com/legal/privacy-policy,marketplace,10/10 High,Medium (0 of 5 core fields High),2/5 verified,"Integration or API availability: evidence came only from privacy, never from docs/integrations/product. The match is real; the finding is weak.","Data residency / storage location: not found on the vendor's public sources (its own pages read cleanly; 2 other page(s) did not, so this is a finding about the vendor) | Encryption practices: not found on the vendor's public sources (its own pages read cleanly; 2 other page(s) did not, so this is a finding about the vendor)","FIRST-PASS INTERNAL RESEARCH AID. Generated from public web pages only. This is not a vendor risk score, a security approval, or a procurement decision. Every field must be confirmed by a human reviewer before use."
Atlassian,pricing_availability,Pricing or plan availability,FOUND,Medium,High,"the pricing page could not be read; evidence came from privacy, never from pricing","…create or modify your profile, set preferences, sign up for or make purchases through the Services, and inquire about pricing, billing, and licensing.",privacy,https://www.atlassian.com/legal/privacy-policy,pricing,10/10 High,Medium (0 of 5 core fields High),2/5 verified,"Pricing or plan availability: evidence came only from privacy, never from pricing. The match is real; the finding is weak.","Data residency / storage location: not found on the vendor's public sources (its own pages read cleanly; 2 other page(s) did not, so this is a finding about the vendor) | Encryption practices: not found on the vendor's public sources (its own pages read cleanly; 2 other page(s) did not, so this is a finding about the vendor)","FIRST-PASS INTERNAL RESEARCH AID. Generated from public web pages only. This is not a vendor risk score, a security approval, or a procurement decision. Every field must be confirmed by a human reviewer before use."
Atlassian,data_residency,Data residency / storage location,NOT_FOUND,NOT_FOUND,NOT_FOUND,nothing matched on any page we could read,,,,,10/10 High,Medium (0 of 5 core fields High),2/5 verified,,"Data residency / storage location: not found on the vendor's public sources (its own pages read cleanly; 2 other page(s) did not, so this is a finding about the vendor) | Encryption practices: not found on the vendor's public sources (its own pages read cleanly; 2 other page(s) did not, so this is a finding about the vendor)","FIRST-PASS INTERNAL RESEARCH AID. Generated from public web pages only. This is not a vendor risk score, a security approval, or a procurement decision. Every field must be confirmed by a human reviewer before use."
Atlassian,encryption,Encryption practices,NOT_FOUND,NOT_FOUND,NOT_FOUND,nothing matched on any page we could read,,,,,10/10 High,Medium (0 of 5 core fields High),2/5 verified,,"Data residency / storage location: not found on the vendor's public sources (its own pages read cleanly; 2 other page(s) did not, so this is a finding about the vendor) | Encryption practices: not found on the vendor's public sources (its own pages read cleanly; 2 other page(s) did not, so this is a finding about the vendor)","FIRST-PASS INTERNAL RESEARCH AID. Generated from public web pages only. This is not a vendor risk score, a security approval, or a procurement decision. Every field must be confirmed by a human reviewer before use."
Atlassian,uptime_reliability,"Uptime, SLA and reliability",FOUND,High,High,"stated directly on the vendor's own security page, quoted in full, with no collection limitation",Review Atlassian’s Service Level Agreement.,security,https://www.atlassian.com/trust/compliance,service level agreement,10/10 High,Medium (0 of 5 core fields High),2/5 verified,,"Data residency / storage location: not found on the vendor's public sources (its own pages read cleanly; 2 other page(s) did not, so this is a finding about the vendor) | Encryption practices: not found on the vendor's public sources (its own pages read cleanly; 2 other page(s) did not, so this is a finding about the vendor)","FIRST-PASS INTERNAL RESEARCH AID. Generated from public web pages only. This is not a vendor risk score, a security approval, or a procurement decision. Every field must be confirmed by a human reviewer before use."
