vendor_name,field,label,status,confidence,extraction_quality,confidence_reason,value,source_type,source_url,matched_terms,vendor_evidence_score,vendor_confidence,vendor_coverage,review_flags_for_this_field,vendor_missing_or_unclear,disclaimer
Linear,security_trust,Security and trust information,FOUND,Medium,Medium,"the quote shown came from pricing, not from security/trust — on-home evidence exists but it is not what the reviewer reads","All Business features + Invoice/PO billing SAML and SCIM Granular admin controls Enterprise-grade security Advanced org modeling Migration & onboarding support Priority support Account management Trusted by more than 40,000 companies",pricing,https://linear.app/pricing,"saml, scim",6/10 Medium,Low (1 of 5 core fields High),3/5 verified,,"Pricing or plan availability: a heading or label only — the vendor named it but published no statement. Open the page. | Data residency / storage location: a heading or label only — the vendor named it but published no statement. Open the page. | Encryption practices: not found on the vendor's public sources (its own pages read cleanly; 1 other page(s) did not, so this is a finding about the vendor) | Uptime, SLA and reliability: not found on the vendor's public sources (its own pages read cleanly; 1 other page(s) did not, so this is a finding about the vendor)","FIRST-PASS INTERNAL RESEARCH AID. Generated from public web pages only. This is not a vendor risk score, a security approval, or a procurement decision. Every field must be confirmed by a human reviewer before use."
Linear,privacy_data_handling,Privacy and data-handling references,FOUND,High,High,"stated directly on the vendor's own privacy page, quoted in full, with no collection limitation","This Privacy Policy covers how we treat Personal Data that we gather when you access or use our Services. “Personal Data” means any information that identifies or relates to a particular individual and also includes information referred to as “personally identifiable information” or “personal information” under applicable data privacy laws, rules or regulations.",privacy,https://linear.app/privacy,"privacy policy, personal data, personal information",6/10 Medium,Low (1 of 5 core fields High),3/5 verified,,"Pricing or plan availability: a heading or label only — the vendor named it but published no statement. Open the page. | Data residency / storage location: a heading or label only — the vendor named it but published no statement. Open the page. | Encryption practices: not found on the vendor's public sources (its own pages read cleanly; 1 other page(s) did not, so this is a finding about the vendor) | Uptime, SLA and reliability: not found on the vendor's public sources (its own pages read cleanly; 1 other page(s) did not, so this is a finding about the vendor)","FIRST-PASS INTERNAL RESEARCH AID. Generated from public web pages only. This is not a vendor risk score, a security approval, or a procurement decision. Every field must be confirmed by a human reviewer before use."
Linear,support_documentation,Support and documentation availability,FOUND,Medium,High,"the docs page could not be read; evidence came from terms, never from docs/product","…products (including Customer’s services), processes or materials that are not reasonably contemplated by Linear or the Documentation, or (c) where Customer’s use of the Service is not in accordance with this Agreement or the Documentation.",terms,https://linear.app/terms,documentation,6/10 Medium,Low (1 of 5 core fields High),3/5 verified,"Support and documentation availability: evidence came only from terms, never from docs/product. The match is real; the finding is weak.","Pricing or plan availability: a heading or label only — the vendor named it but published no statement. Open the page. | Data residency / storage location: a heading or label only — the vendor named it but published no statement. Open the page. | Encryption practices: not found on the vendor's public sources (its own pages read cleanly; 1 other page(s) did not, so this is a finding about the vendor) | Uptime, SLA and reliability: not found on the vendor's public sources (its own pages read cleanly; 1 other page(s) did not, so this is a finding about the vendor)","FIRST-PASS INTERNAL RESEARCH AID. Generated from public web pages only. This is not a vendor risk score, a security approval, or a procurement decision. Every field must be confirmed by a human reviewer before use."
Linear,integrations_api,Integration or API availability,FOUND,Medium,Medium,"the docs page could not be read; evidence came from pricing, status, never from docs/integrations/product",All Basic features + Unlimited teams Private teams and guests Triage Intelligence Loops Code Intelligence (beta) Linear Insights Linear Asks Zendesk and Intercom integrations,pricing,https://linear.app/pricing,integrations,6/10 Medium,Low (1 of 5 core fields High),3/5 verified,"Integration or API availability: evidence came only from pricing, status, never from docs/integrations/product. The match is real; the finding is weak.","Pricing or plan availability: a heading or label only — the vendor named it but published no statement. Open the page. | Data residency / storage location: a heading or label only — the vendor named it but published no statement. Open the page. | Encryption practices: not found on the vendor's public sources (its own pages read cleanly; 1 other page(s) did not, so this is a finding about the vendor) | Uptime, SLA and reliability: not found on the vendor's public sources (its own pages read cleanly; 1 other page(s) did not, so this is a finding about the vendor)","FIRST-PASS INTERNAL RESEARCH AID. Generated from public web pages only. This is not a vendor risk score, a security approval, or a procurement decision. Every field must be confirmed by a human reviewer before use."
Linear,pricing_availability,Pricing or plan availability,PARTIAL,Low,Low,"only a label, a fragment or an image — nothing quotable was written",Pricing,pricing,https://linear.app/pricing,pricing,6/10 Medium,Low (1 of 5 core fields High),3/5 verified,,"Pricing or plan availability: a heading or label only — the vendor named it but published no statement. Open the page. | Data residency / storage location: a heading or label only — the vendor named it but published no statement. Open the page. | Encryption practices: not found on the vendor's public sources (its own pages read cleanly; 1 other page(s) did not, so this is a finding about the vendor) | Uptime, SLA and reliability: not found on the vendor's public sources (its own pages read cleanly; 1 other page(s) did not, so this is a finding about the vendor)","FIRST-PASS INTERNAL RESEARCH AID. Generated from public web pages only. This is not a vendor risk score, a security approval, or a procurement decision. Every field must be confirmed by a human reviewer before use."
Linear,data_residency,Data residency / storage location,PARTIAL,Low,Low,"only a label, a fragment or an image — nothing quotable was written","Trusted by more than 40,000 product teams around the globe",security,https://linear.app/security,multi-region,6/10 Medium,Low (1 of 5 core fields High),3/5 verified,,"Pricing or plan availability: a heading or label only — the vendor named it but published no statement. Open the page. | Data residency / storage location: a heading or label only — the vendor named it but published no statement. Open the page. | Encryption practices: not found on the vendor's public sources (its own pages read cleanly; 1 other page(s) did not, so this is a finding about the vendor) | Uptime, SLA and reliability: not found on the vendor's public sources (its own pages read cleanly; 1 other page(s) did not, so this is a finding about the vendor)","FIRST-PASS INTERNAL RESEARCH AID. Generated from public web pages only. This is not a vendor risk score, a security approval, or a procurement decision. Every field must be confirmed by a human reviewer before use."
Linear,encryption,Encryption practices,NOT_FOUND,NOT_FOUND,NOT_FOUND,nothing matched on any page we could read,,,,,6/10 Medium,Low (1 of 5 core fields High),3/5 verified,,"Pricing or plan availability: a heading or label only — the vendor named it but published no statement. Open the page. | Data residency / storage location: a heading or label only — the vendor named it but published no statement. Open the page. | Encryption practices: not found on the vendor's public sources (its own pages read cleanly; 1 other page(s) did not, so this is a finding about the vendor) | Uptime, SLA and reliability: not found on the vendor's public sources (its own pages read cleanly; 1 other page(s) did not, so this is a finding about the vendor)","FIRST-PASS INTERNAL RESEARCH AID. Generated from public web pages only. This is not a vendor risk score, a security approval, or a procurement decision. Every field must be confirmed by a human reviewer before use."
Linear,uptime_reliability,"Uptime, SLA and reliability",NOT_FOUND,NOT_FOUND,NOT_FOUND,nothing matched on any page we could read,,,,,6/10 Medium,Low (1 of 5 core fields High),3/5 verified,,"Pricing or plan availability: a heading or label only — the vendor named it but published no statement. Open the page. | Data residency / storage location: a heading or label only — the vendor named it but published no statement. Open the page. | Encryption practices: not found on the vendor's public sources (its own pages read cleanly; 1 other page(s) did not, so this is a finding about the vendor) | Uptime, SLA and reliability: not found on the vendor's public sources (its own pages read cleanly; 1 other page(s) did not, so this is a finding about the vendor)","FIRST-PASS INTERNAL RESEARCH AID. Generated from public web pages only. This is not a vendor risk score, a security approval, or a procurement decision. Every field must be confirmed by a human reviewer before use."
